ID,How likely are you to vote in the 2024 Presidential Election?,How enthusiastic are you to vote in the 2024 Presidential Election?,How often do you vote?," If the 2024 presidential election were held today, who would you vote for if the candidates were:",Party ID (With Leaners),Are you closer to being a:,"Who did you vote for in the 2020 presidential election, or did you not vote?",Which issue would you say is most important to your vote?,"Regardless of who you're supporting, which candidate would better handle the economy and jobs?","Regardless of who you're supporting, which candidate would better handle immigration and border security?","Regardless of who you're supporting, which candidate would better handle abortion rights and restrictions?",Do you support the construction of a border wall along the southern border?,Do you support the mass deportation of undocumented immigrants currently living in the United States?,Age,Gender,Race,Race/Education,Education Level,US Region,US Zip Code,LV Score
535,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,West,80909,28
536,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,Black or African American,Non White No College,No College,South,30016,28
540,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Joe Biden, the Democrat",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,90017,28
548,Already Voted,Very,Always,"Donald Trump, the Republican",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White No College,No College,Midwest,46506,28
556,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White College,College,South,29928,28
562,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White College,College,Northeast,07825,28
573,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,45-64,Female,White,White No College,No College,West,89701,28
582,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,45-64,Male,White,White No College,No College,Northeast,18018,28
587,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Other,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,65+,Male,White,White No College,No College,Midwest,49858,28
589,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,30-44,Male,Black or African American,Non White No College,No College,South,30344,28
600,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,West,89131,28
606,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Male,White,White No College,No College,South,34120,28
607,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,West,85048,28
608,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,Black or African American,Non White No College,No College,Midwest,46410,28
632,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,Midwest,50158,28
645,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,Yes,65+,Female,White,White College,College,South,27614,28
661,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,White,White No College,No College,West,98626,28
662,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Crime and public safety,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Yes,45-64,Female,White,White No College,No College,West,98030,28
663,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Donald Trump,Kamala Harris,Yes,Unsure,65+,Female,White,White No College,No College,West,92301,28
672,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,65+,Female,White,White No College,No College,West,80439,28
673,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,85258,28
676,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,18-29,Female,White,White No College,No College,Northeast,01080,28
680,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,43351,28
683,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,Other,Non White College,College,West,92105,28
684,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Healthcare,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,85208,28
685,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,60558,28
686,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,West,85351,28
687,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,65+,Female,White,White College,College,Midwest,57730,28
688,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,30060,28
693,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,49120,28
698,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Unsure,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,49508,28
703,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,South,79601,28
705,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Gun rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Midwest,43560,28
710,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Unsure,Yes,Yes,65+,Female,White,White No College,No College,South,30907,28
714,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White College,College,Northeast,07666,28
718,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,30127,28
721,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,South,75156,28
726,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,Yes,No,30-44,Female,White,White No College,No College,West,98201,28
736,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,Yes,Unsure,45-64,Female,Hispanic,Non White No College,No College,South,32725,28
740,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Unsure,Donald Trump,Kamala Harris,Yes,Yes,65+,Male,White,White No College,No College,Midwest,53222,28
741,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Black or African American,Non White No College,No College,South,29406,28
748,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Immigration and border security,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,Other,Non White College,College,West,92620,28
753,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,30-44,Female,Other,Non White College,College,West,91768,28
756,Already Voted,Very,Always,"Donald Trump, the Republican",Democrat,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White No College,No College,Northeast,17340,28
760,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,Unsure,45-64,Female,Black or African American,Non White College,College,South,27704,28
764,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,White,White No College,No College,West,85614,28
765,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,White,White College,College,Midwest,60490,28
769,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,Republican,"Donald Trump, the Republican",Threats to democracy and corruption,Donald Trump,Donald Trump,Donald Trump,Yes,Unsure,45-64,Female,White,White No College,No College,Northeast,11751,28
775,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Unsure,Donald Trump,Kamala Harris,Unsure,No,30-44,Female,White,White College,College,Midwest,53128,28
796,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Male,White,White College,College,Northeast,02719,28
804,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Male,White,White College,College,West,96825,28
805,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,Northeast,10708,28
820,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,South,23666,28
824,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,45-64,Female,White,White College,College,South,76247,28
827,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White College,College,West,85253,28
842,Already Voted,,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,65+,Female,White,White No College,No College,South,75020,28
843,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,Midwest,55432,28
844,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",Immigration and border security,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White College,College,West,85250,28
847,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,No,45-64,Female,Black or African American,Non White No College,No College,West,85041,28
859,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Healthcare,Kamala Harris,Kamala Harris,Kamala Harris,No,No,45-64,Female,Other,Non White College,College,Midwest,55024,28
862,Already Voted,Very,Always,"Kamala Harris, the Democrat",Republican,,"Joe Biden, the Democrat",The economy and jobs,Kamala Harris,Kamala Harris,Kamala Harris,No,No,65+,Female,White,White No College,No College,West,85251,28
866,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,Democrat,"Joe Biden, the Democrat",Abortion rights and restrictions,Kamala Harris,Kamala Harris,Kamala Harris,Unsure,Unsure,65+,Female,White,White No College,No College,Midwest,44126,28
869,Already Voted,Very,Always,"Kamala Harris, the Democrat",Democrat,,"Joe Biden, the Democrat",Threats to democracy and corruption,Kamala Harris,Kamala Harris,Kamala Harris,No,No,18-29,Female,White,White No College,No College,Northeast,16933,28
872,Already Voted,Very,Always,"Donald Trump, the Republican",Republican,,"Donald Trump, the Republican",The economy and jobs,Donald Trump,Donald Trump,Donald Trump,Yes,Yes,30-44,Female,White,White No College,No College,Midwest,54141,28
881,Already Voted,Very,Always,"Kamala Harris, the Democrat",Independent,Neither,"Donald Trump, the Republican",The economy and jobs,Kamala Harris,Unsure,Kamala Harris,Yes,Yes,65+,Female,White,White No College,No College,South,30738,28
